id,time_worked,avg_action_time,Input,Move From To,Nonproduction,Paste,Remove/Cut,Replace,count_letters,count_special_chars,final_word_count
04b88b3e,1783605,108.94745575221239,3203,0,118,0,292,3,2870,1683,514
04e63aec,1810881,114.55333559092449,3783,0,777,0,1344,2,4086,7292,426
052a7811,1778695,87.67645921917278,2058,0,299,0,224,6,1951,2899,303
052b25e1,1814332,57.27504725897921,4847,0,87,1,346,9,4608,1863,741
052cf3a6,1772467,100.9192546583851,1369,0,159,0,82,0,1141,1582,212
053be4e5,2106440,97.17437722419929,3621,0,80,0,1076,0,3793,1544,422
056c41fc,1787630,115.69655172413793,1422,0,89,0,229,0,1292,1071,207
05b35fa0,1710578,100.70892857142857,1758,0,100,0,382,0,1789,1198,222
05f425a4,1814018,56.904879773691654,2505,0,124,0,198,1,2174,1544,400
05f8ca37,1801994,117.79662162162163,2259,0,56,0,644,1,2339,1022,285
06336d82,1747258,76.22858087992061,5050,0,710,0,286,0,4318,6698,849
064a82e9,1762560,83.23260698346023,3236,0,98,1,474,0,2980,1516,495
0657fcde,1700709,103.09539473684211,3021,0,99,0,222,2,2556,1494,491
0666fb4e,1774311,96.59522757401679,4202,0,96,0,227,1,3541,1666,670
069d668b,1697431,101.04077974456644,3421,0,311,0,727,4,3283,3403,453
06cba5d7,1801283,94.86198547215497,2427,0,198,0,266,0,2140,2137,397
06f33221,1888721,94.04106951871658,2787,0,1374,0,511,3,2840,11667,336
077ee03e,1570528,91.00247007410222,4301,0,59,0,900,3,4442,1531,546
078a6196,3711871,131.66631355932202,3871,0,298,1,528,22,3831,3363,551
07bb7765,1815275,81.22828729281768,2973,0,550,0,999,3,3448,5333,277
07c36ae1,1694433,101.19274587305277,2764,0,280,0,1257,0,3242,3039,259
07f3409c,1790294,88.60292104062071,3675,0,277,0,428,2,3269,3103,554
081d84f4,1518157,117.57204455623427,2504,0,74,0,201,4,2243,1154,365
08276ea7,1498393,110.89400665926748,1606,0,136,0,59,1,1335,1431,275
08288a1f,1736560,85.05,2667,0,90,1,242,0,2778,1401,442
08390d49,1752129,117.2379736057897,1800,0,300,0,248,1,1655,2838,245
088efb89,1734363,124.8643216080402,2553,0,56,0,376,0,2310,1067,413
08dbdc95,1791508,116.10378811210349,5484,0,199,0,808,3,5603,2917,692
08e82426,1702716,114.9241422725842,2974,0,64,0,139,0,2512,1170,479
08eb331a,1767840,142.31234866828086,1457,0,62,0,133,0,1277,837,224
08ed1a7f,1858387,95.18961310561171,2434,0,248,1,171,15,2255,2614,341
08f461ac,1856554,76.09652844744456,4005,0,5582,1,765,17,4378,45893,480
08f9b53a,1789071,75.5692333959365,4118,0,1098,0,626,15,4121,9811,561
0916cdad,1804712,94.1208432304038,2322,0,485,1,555,5,2883,4609,312
09429577,1713736,126.96088582111015,2897,0,100,0,471,9,2789,1502,404
0949205b,1764491,163.36540120793788,1841,0,54,0,423,0,1786,913,243
098f7878,1714814,118.53189341945902,3991,0,318,0,637,8,3854,3457,541
09a67581,1829266,90.52091788947861,5844,0,94,0,468,0,5029,2035,974
09ea6d33,2649838,84.76288088642659,1537,0,84,0,184,0,1430,963,205
09eb3ce5,1838958,82.36062717770035,1374,0,115,0,233,0,1217,1325,204
0a1be27b,1829058,117.5455734845181,1676,0,192,0,425,0,1670,1967,245
0a248634,1759659,102.26563721657546,4134,0,290,0,692,0,3809,3337,627
0a31d60e,1847412,109.23654306220095,2433,0,175,0,728,8,2481,2178,308
0a4e3aec,1768262,121.04915514592933,1723,0,82,1,146,1,1590,1062,279
0a4eae7a,1963355,124.2419191919192,1585,0,262,0,132,1,1154,2667,238
0a59a757,1366735,101.92834277271608,2912,0,572,2,571,4,3283,5422,397
0a98043e,1768841,73.67257159728373,2356,0,479,0,552,0,2353,4387,305
0ad15907,1732069,81.54262378764676,1791,0,60,0,108,0,1471,908,306
0ad30c56,1761777,89.83386695126289,4300,0,108,0,1214,0,4428,1950,554
0bcf7a38,1548291,71.53338696701529,2119,0,190,1,176,0,1868,2018,366
0be614b2,1801697,96.15028901734104,3391,0,166,0,243,6,3005,2102,519
0c0f5e03,1736384,98.09220452640402,2675,0,97,0,807,0,2835,1501,311
0c13191d,1578360,96.603738317757,2606,0,197,0,938,4,2993,2193,257
0c3c0e97,2199727,133.60352622061484,1891,0,136,0,184,1,1768,1508,266
0c63312a,1750731,82.26559435072578,2365,0,33,0,151,0,2024,756,397
0c683abf,1813035,144.86679058240398,2804,0,38,0,386,0,2550,944,420
0c6ae36d,2184374,101.0210378681627,1326,0,27,0,73,0,1114,501,228
0c6dc776,1709178,122.13134249471459,3336,0,55,0,393,0,3009,1160,503
0c81d872,1795502,75.13270142180095,1832,0,76,0,202,0,1591,1051,257
0c97760e,1882323,68.30859728506788,2877,1,172,0,263,2,2588,2084,449
0ca05fe3,1801790,110.83184383819379,2858,0,293,0,1101,0,1466,4837,254
0cb03a4b,1808347,104.97748960117445,3182,0,171,0,734,0,3084,2200,445
0cdbef4c,1700299,75.24505030834145,2513,0,185,0,383,0,2308,2068,377
0cdd67f7,1536750,120.87195796460178,3228,0,148,0,240,0,2763,1889,508
0cf8f260,1755696,168.43077501881115,2058,0,123,4,469,4,2804,1722,231
0d0f5c6a,1789851,55.19713831478538,3379,0,258,0,137,0,2764,2816,594
0d341ad9,1688855,93.31988472622479,1380,0,230,0,125,0,1216,2129,205
0d71be2a,1180835,98.48684449283252,3832,0,322,0,1355,2,4247,3612,408
0d9a48c8,1865012,78.01154939587775,5050,0,111,0,467,0,4455,1983,783
0d9d8d5c,1831491,129.71381794368043,1332,0,76,0,119,0,1164,895,221
0e1ed32d,1925068,171.7510254306809,2262,0,52,0,124,0,1926,876,335
0e6b2690,1773227,122.80716723549489,2174,0,82,0,88,0,1771,1147,378
0e7d541e,1833636,110.8694,4390,0,281,0,329,0,3832,3135,710
0e8c5c2d,1765983,86.44711538461539,3536,0,197,0,423,4,3201,2389,542
0e8ff5f0,1702678,89.68517736486487,3619,0,495,0,609,13,3745,4793,428
0e92a174,1742933,69.68123861566484,3272,0,153,1,954,12,3861,2144,355
0e92f6e6,1593369,117.07706666666667,3314,0,107,0,327,2,2994,1580,508
0e94f89a,1715429,74.1260859879706,2907,0,753,0,829,0,3069,6764,319
0eb6deb6,1808555,101.59132947976879,1499,0,102,0,129,0,1268,1176,255
0ef51d77,1795737,114.50643004115226,3096,0,457,2,324,9,3439,4486,439
0efdfcb9,1717464,58.51757014437483,3152,0,79,0,440,0,2886,1343,467
0f2b0127,1717816,112.08484270734033,1648,0,284,0,166,0,1482,2604,227
0f2d2bc2,1773067,96.9090909090909,2371,0,231,0,316,8,2291,2445,281
0f53e40a,1685514,111.98586977277067,4163,0,111,0,963,0,4217,1797,494
0f99d42f,1723918,80.12298107983388,3744,0,469,0,121,0,3110,4507,624
0fa3f386,1703145,112.43369565217391,1630,0,94,0,116,0,1427,1071,235
10001c3f,1776055,88.94532568342896,5050,0,245,0,631,0,4548,3093,741
1031137e,1781183,114.91846885813149,3930,0,95,0,599,0,3593,1696,596
104e2177,1684765,68.69608104505465,2820,0,273,1,657,0,3363,3029,355
10894203,1736607,82.95440895440895,3133,0,175,1,354,0,3212,2072,469
10967045,1797153,88.20660432495616,2920,0,94,0,408,0,2676,1404,438
10989e65,1702281,130.92672279388836,2463,0,345,0,399,0,2281,3345,389
10a8ffbc,1784236,124.42227456258412,2552,0,20,0,400,0,2438,674,393
10d00394,1774785,82.21776694727514,3578,0,153,0,783,0,3635,1980,431
10eafbce,1772365,104.28334439283344,2134,0,369,0,511,0,2203,3394,262
1102ab6c,1333637,111.01376273052574,3151,0,50,0,431,1,3184,1096,395
11612565,2953786,102.98121712997747,1245,0,37,0,49,0,1005,585,210
1165aac7,1852658,139.94688363524716,3054,0,89,0,114,0,2626,1254,433
118107cc,1690528,106.62966973470493,1504,0,70,0,273,0,1717,956,140
1183579c,1602825,117.80980926430517,1614,0,57,0,163,1,1548,805,217
11c44718,1812991,98.84155379504217,2547,0,1200,7,146,13,2866,10248,251
121b7be1,1112293,93.61218637992832,2210,0,92,0,485,3,2260,1244,267
12251b80,1760462,77.86439422008151,2347,0,49,0,296,7,2157,955,335
1255ca43,1727895,84.22464985994398,2778,0,1721,0,856,0,2924,14478,331
128d8837,1792184,85.32611903590752,3008,0,133,0,924,1,3307,1852,345
12a1c58e,1638115,97.55878084179972,1833,0,187,0,42,5,1525,1886,303
12a29027,1696529,94.33872767857143,4178,0,801,0,395,2,3941,7399,593
12d2369f,1795398,75.06614349775785,3734,0,205,0,518,3,3573,2520,535
12e6279b,1752522,80.96385083713851,2164,0,114,0,349,1,2046,1385,322
12ed90ad,1706196,98.9995374653099,1771,0,134,0,253,4,1678,1526,259
12f19edb,1791549,95.45293315143248,2930,0,217,4,503,11,4601,3143,318
12f9bae8,1713597,131.98383200148672,4573,0,195,1,610,2,4215,2582,697
131a4f5b,1489672,89.77520661157025,1425,0,34,1,355,0,1545,647,205
1343a4d2,1773179,137.61206293706294,4547,0,415,0,758,0,4117,4508,698
1352b297,1887039,87.98565776458952,1675,0,78,0,269,0,1605,963,215
13959265,1669772,104.0739357729649,1163,0,152,0,24,0,930,1473,210
139b1633,1674143,148.619793814433,1951,0,111,0,363,0,1822,1380,266
13b35572,1409583,48.53751537515375,1347,0,73,0,206,0,1173,967,208
13b958a3,1786233,154.90652901785714,3127,0,152,0,302,3,2818,1878,475
13c12172,1798503,93.25896226415094,1651,0,281,0,188,0,1276,2811,243
13c8090f,1395841,79.44028950542823,1473,0,43,0,140,2,1317,656,221
13e5d669,1796575,152.92536585365855,5371,0,186,0,593,0,4872,2580,782
14198179,1691489,106.63108921729611,1662,0,52,0,112,1,1511,792,256
142ae1e2,1667172,94.40475404423903,2273,0,396,0,360,0,2400,3746,279
143c8cd1,1683095,82.03578363384189,3013,0,118,0,474,0,2754,1677,483
143daf03,1735593,89.93258971871968,1648,0,36,0,378,0,1665,649,228
14416b1b,1829005,106.7066265060241,1149,0,377,2,132,0,1126,3515,231
1454c1e7,1680169,93.92015843235356,3480,0,511,0,789,17,3528,5014,452
14623dee,1787175,99.80343385428131,2922,0,1199,0,411,11,3107,10380,356
1465ed8a,1796467,117.18737373737373,1830,0,97,0,51,2,1538,1200,310
147f29a6,1758756,88.99055415617129,1393,0,48,0,147,0,1222,702,228
148d6ad2,1679237,128.70564311133705,1783,0,92,0,83,9,1660,1134,271
14ab2307,1789700,105.07816091954022,2955,0,145,1,800,14,4393,2177,233
14fee75a,1659869,112.31991951710262,1756,0,38,0,193,1,1572,708,286
153aafba,1798679,84.47565674255692,2193,0,258,2,402,0,2548,2940,254
156afd16,1802756,105.11591478696742,4588,0,55,0,143,2,3755,1441,855
157ebf8a,1844904,96.50593723494487,1907,0,193,0,258,0,1721,1988,286
159f332d,1771752,69.56958393113342,2672,0,3425,0,171,5,2304,27999,435
15d93e45,1828228,92.06528081692196,2059,0,124,0,559,0,2171,1439,224
165315ef,1509978,77.62965360958239,2677,0,67,0,344,1,2469,1177,384
16542171,1646074,99.5759209344115,2910,0,73,0,355,1,2688,1193,389
1677c88a,1711020,101.82988980716253,1136,0,224,1,90,1,1746,2273,371
1686e65a,1636593,112.36061175207942,3159,0,85,0,483,0,2901,1421,436
1698ffb9,566762,84.21721122871607,2018,0,27,0,128,0,1754,608,303
16c2ea01,760366,130.16341327384274,1635,0,29,0,129,0,1384,612,280
16e8b11f,1753121,104.78559510567297,3266,0,135,0,195,0,2754,1787,529
1772af76,1861344,103.84791965566714,2325,0,146,2,315,0,2442,1881,376
17b23156,1679782,91.21755368814192,2499,0,403,0,311,0,2359,3793,362
17dd8cb3,1550264,129.88808426596444,1426,0,31,0,62,0,1121,615,215
183fdf47,1750234,102.29605618584549,3308,0,108,0,286,0,2824,1645,568
1849b0dd,1777519,86.89435866075523,5955,0,250,0,336,0,4946,3345,994
18546086,1782861,107.02122807017544,4883,0,372,0,445,0,4316,3988,734
1894b127,1869031,66.80152224824356,4456,0,375,0,2001,0,5119,4338,434
19312bdb,1821185,82.77937120794263,3041,0,276,0,309,0,2692,2866,519
196a6369,1441453,107.1204481792717,2164,0,458,0,587,4,2246,4237,255
1972e933,1797406,86.70284237726098,2480,0,472,0,529,2,2335,4484,357
1986a3d4,1807880,126.25930764206402,1233,0,207,0,90,1,1050,1952,219
19950714,1657396,88.22288106034182,2256,0,143,4,464,0,7655,3171,338
19fbc46b,1795913,204.6380483227774,3573,0,148,1,532,9,3591,1971,441
1a07f6cb,1808855,66.08895149929563,4480,0,146,0,343,0,4127,2103,604
1a14d0f0,1750232,96.39566115702479,1970,0,338,0,596,0,2182,3088,222
1a6a67b1,1715943,62.229214780600465,1315,0,346,0,71,0,1120,3061,221
1a7d6b4f,1852684,101.02711738484398,2313,0,16,1,362,0,1005,1800,204
1a8cbd7f,1779915,55.93791167260555,8551,0,144,0,565,1,7435,2854,1326
1a926362,1800028,91.12822299651567,2003,0,264,0,601,2,2159,2655,246
1a97368f,1714327,135.04709775967413,3428,0,109,0,389,2,3103,1611,512
1a9e8903,1304253,108.95245446125347,3046,0,51,0,142,0,2610,986,454
1ab08776,1793104,135.19893573475235,1848,0,44,0,551,0,1892,859,226
1abc20b4,1761221,73.19834482758621,3121,0,77,0,421,6,2933,1335,424
1acb2b61,1703851,64.41334514319456,3009,0,102,0,272,4,2637,1502,479
1acc5907,1702643,122.12871287128714,1793,0,206,0,122,0,1548,2015,282
1af8f766,1797313,101.02213279678068,3236,0,192,0,548,0,3073,2265,450
1b170ded,1745311,102.74348810872027,3963,0,152,0,1183,0,4308,2172,482
1b192ac5,1799428,96.66608187134503,1395,0,120,0,195,0,1251,1301,214
1b1beabd,1771952,140.5803945008966,1478,0,87,0,108,0,1296,1009,223
1b22c07e,1779947,117.06931768796176,3893,0,377,0,330,2,3399,3862,607
1b2f3b8b,1900072,61.33993399339934,4489,0,6100,0,598,24,5204,50123,478
1b5a2340,1751358,138.27324088341038,1826,0,31,0,90,0,1518,646,292
1b6ef74e,1763787,95.79475982532752,1673,0,61,0,321,6,1645,923,230
1b74bce8,1796445,87.8523611831863,3575,0,80,0,199,0,2990,1424,614
1b83a657,1857425,81.34389561975769,1751,0,108,0,287,0,1642,1260,255
1b8d8f77,1602782,85.14529472595656,1713,0,110,0,111,0,1422,1282,232
1b8f6a12,1825550,174.14498362607918,3102,0,93,0,163,1,2577,1448,487
1b909812,1562978,119.91414419372592,1664,0,83,0,70,0,1354,1044,291
1ba0622f,1791085,70.8260660081908,3706,0,169,0,276,0,3231,2200,603
1c08fe1a,1616051,68.81294396211523,1129,0,44,0,94,0,971,604,162
1c1f46a8,1628113,109.33960599823581,2493,0,115,0,793,0,2621,1594,335
1c4fcca3,1808391,75.28896103896103,2841,0,839,1,939,0,3153,7599,366
1c540433,1113860,77.51385809312639,1289,0,435,0,80,0,1040,3809,220
1c81cb79,1773910,69.58862727676588,3319,0,5025,0,660,0,3206,40973,462
1cc9ea58,1624018,65.76741010468821,3433,0,53,0,908,0,3471,1294,419
1cd167a4,1392269,89.82790309106099,2135,0,155,0,104,0,1766,1713,367
1cd86e70,1710600,126.82289589150379,2034,0,71,0,402,0,2018,1017,256
1d716bff,1354758,118.24570337364736,1456,0,32,0,83,0,1214,581,244
1d8cf496,1778229,94.83936170212766,1590,0,93,0,195,2,1436,1142,240
1db1735e,1802397,116.18742614039235,3549,0,150,1,518,13,3869,2025,379
1dc5440c,1698990,15.44287330316742,1517,0,139,0,109,3,1336,1449,224
1e12f119,1721719,99.66280711663372,2985,0,82,0,474,0,2820,1295,461
1e882f60,1748380,79.405614714424,1661,0,112,0,292,1,1603,1325,234
1e8e8e18,1811392,80.42972636815921,1367,0,126,0,115,0,1183,1307,218
1ebb9b74,1837091,98.0378301213419,1289,0,19,0,93,0,1098,436,220
1f66e7f7,1497890,18.77230769230769,1510,0,50,0,65,0,1585,659,215
1fb7a3e6,1773800,71.86295313881521,2935,0,163,0,295,0,2536,1998,483
1fbb8840,1772365,98.6509167842031,3599,0,119,0,529,7,3405,1861,507
1fbedb17,1746933,102.09968130311614,5034,0,244,0,370,0,4322,3034,847
1fbf2800,1649990,100.69731007981082,2867,0,109,7,400,0,2578,1575,449
203a6602,1734016,116.22459279651297,3285,0,479,0,595,0,3030,4682,497
20678203,1724237,140.23367556468173,2164,0,63,0,203,5,1994,1001,322
2081c45e,1488887,87.54120713856025,4156,0,84,0,747,0,3981,1597,617
2083b2d1,1796503,116.74354964816263,3102,0,23,0,712,0,3194,804,450
20ae730b,1803140,118.88848660391021,3254,1,452,1,421,14,3304,4433,434
20d1a4a0,1796931,149.04936437180123,4738,0,817,0,493,9,4509,7592,661
20f66977,1790326,66.06333830104322,1140,0,122,0,80,0,920,1276,171
20ffdd91,1690333,77.42060428590443,4349,0,27,0,3137,0,7167,535,207
210aa189,1764042,82.82196634189549,2002,0,84,0,172,0,1549,1297,309
21170932,1725888,115.64601769911505,1625,0,120,0,175,1,1423,1343,240
213d79d9,1656005,197.2134203168686,1027,0,22,0,24,0,797,430,201
21434532,1774971,118.23604795369988,2258,0,54,0,107,0,1875,922,407
216e0bad,1798551,88.99240432369267,3150,0,70,0,203,0,2694,1219,501
21707506,1699796,127.61624799572421,1586,0,54,0,231,0,1404,845,228
219277f2,2181296,87.90101325019485,3116,0,81,1,650,1,3156,1422,422
219e5338,2478046,91.50928531232414,1548,0,87,0,142,0,1376,1010,235
219eeff1,1801375,173.4814063556457,1221,1,136,0,121,0,1145,1374,200
21bbc3f6,861283,86.95712484237075,1391,0,164,0,31,0,1128,1606,262
2203d0fc,1701423,91.83574333483958,3312,0,232,0,882,0,3605,2750,370
22106b1d,1745194,119.28377942599161,2775,0,106,0,218,2,2473,1409,416
2222cd90,1631660,84.12087246289003,2478,0,324,1,495,3,2852,3438,369
225dcef1,1795760,147.42763157894737,1646,0,116,0,203,11,1679,1424,241
2277b17f,1727253,121.0657894736842,3598,0,59,0,444,3,3320,1325,528
227e9aca,1796763,71.79768041237114,1354,0,76,0,122,0,1125,959,202
227fc5d4,1610897,88.0082214305289,3376,1,131,0,141,0,2999,1724,532
228f56af,1737304,99.14691151919867,1490,0,57,0,243,7,1459,823,216
2294b205,1750485,123.73460246360582,1488,0,49,2,247,0,1381,750,225
22982ff4,1795681,117.24175824175825,2612,0,91,0,209,0,2343,1238,404
22b5b6db,1797126,84.67060192883272,3669,0,98,0,2246,1,1224,5481,207
22ca4a3d,1805684,122.58011634056055,2935,0,188,0,659,0,2927,2171,408
22d9276d,1709842,70.15825881558968,4756,0,75,0,1095,1,5042,1671,543
23022dee,1784451,110.18392709196354,1295,0,668,0,447,4,1539,5745,108
230b73d3,1399286,129.1682398667407,1456,0,139,0,206,0,1322,1452,214
233d1540,1801943,82.60995661109843,1934,0,2281,0,159,5,1755,18682,280
236171e4,1758667,96.41188584877905,1931,0,1120,2,343,3,1865,9456,241
23717103,1733027,117.5769820971867,1734,0,34,0,187,0,1552,641,248
2381064c,1732523,110.73074553296365,1491,0,86,0,46,0,1125,1100,249
23855e0b,1752899,91.15091410831322,4162,0,222,1,1413,0,4553,2919,452
23bce305,1599845,100.37843336724313,2595,0,123,0,231,0,2208,1602,411
2440d983,1868868,74.43312507968889,4359,0,2459,1,1024,0,4500,20700,514
24870b2d,1706162,89.03915547024953,1655,0,875,0,75,0,1397,7333,264
24eab250,1649357,146.2199427480916,1965,0,24,0,107,0,1674,590,322
24ef4fa9,1734913,88.44229691876751,3091,0,113,0,366,0,2793,1568,493
2522a736,1793331,108.11014851485149,1504,0,57,0,55,0,1195,820,258
2534ca96,1722966,141.54429369513167,3567,0,399,0,1046,0,4162,4207,344
253b2cdc,1638548,99.90858944050433,1126,0,83,0,60,0,914,936,204
257fb4a6,1750138,106.9204590423427,2347,0,47,0,132,1,1844,1022,404
25835eca,1212970,94.80522827687776,2341,0,45,0,330,0,2169,862,352
258ecfdc,1624333,163.58638473439916,1558,0,90,0,291,0,1509,1060,227
259b5a0f,1831135,78.40974129209424,1900,0,4941,0,77,1,1750,39959,288
25dd857a,1781074,49.53859202714165,3297,0,46,0,194,0,2759,1100,595
2600692d,1816556,111.78008451221753,4485,0,191,0,766,1,4301,2588,631
263d3129,1722796,140.6721536351166,2234,0,198,0,484,0,2186,2188,338
2641df91,1493136,90.72689075630252,1553,0,203,0,386,0,1527,2050,226
264d3c96,1770680,101.83140458361697,3358,0,454,0,595,0,3171,4414,502
267f8752,2098667,91.4005032021958,2600,0,327,0,1445,0,3556,3120,288
2682c94b,1750189,72.2260778128286,2376,0,2845,0,485,0,2282,23344,339
269fbbdd,1718331,61.98825654923216,1558,0,1570,0,193,0,1429,12882,227
27027716,1678769,90.48605577689243,2828,0,285,1,393,7,5772,3767,383
2717fdef,1794523,65.9910052910053,1652,0,57,0,181,0,1485,804,227
279b22e6,1799381,130.59097744360903,1734,0,109,0,151,1,1536,1228,269
27b7f5c5,1797438,121.84124223602484,3404,0,110,0,511,0,3149,1663,493
27c6585d,1621119,26.619148936170212,1748,0,186,0,416,0,1814,1904,217
284aca12,1324390,100.80813953488372,1386,0,31,0,131,0,1188,577,209
285a0153,1754099,91.88532763532764,1096,0,247,0,61,0,898,2235,205
2863f4b7,1771061,95.43914473684211,2217,0,119,0,96,0,1842,1423,400
2889d0db,1893496,98.29601803155522,1175,0,31,0,125,0,1021,527,201
28b77182,1749928,104.66272189349112,2666,0,241,0,473,0,2483,2584,381
28efbd1a,1748692,85.19053162592161,1746,0,202,1,628,0,1903,2125,202
290789f7,1775074,126.80448877805486,1734,0,76,0,195,0,1515,1022,287
2917977d,1729861,104.35067774376913,1976,0,73,1,237,0,1744,1072,328
292bd5f7,1790814,85.21707060063224,2533,0,68,0,243,3,2332,1093,359
293d6cb1,687368,113.17797816801139,1903,0,54,0,150,0,1657,828,308
2967ec05,1759146,94.32353549989651,4174,0,111,0,538,8,4102,1908,543
29b7f2f6,3978130,111.70647680293983,1311,2,772,0,91,1,1206,6479,202
29d4417d,1874386,104.34384929641398,3934,0,168,0,301,3,3632,2242,604
2a11b826,1739036,85.89038292896814,2520,0,644,0,257,0,2254,5678,415
2a4db519,1511922,71.95712694877506,3103,0,67,0,422,0,2828,1233,445
2a5f1f40,1708351,59.18429073856976,3554,0,215,0,496,0,3234,2536,522
2a614234,1957800,93.38446879466413,1641,0,250,0,208,0,1600,2375,223
2a7b72fa,1778958,102.60414732281028,2881,0,79,0,269,2,2503,1343,473
2a829632,1783822,114.9419795221843,1562,0,67,0,129,0,1359,868,243
2b1539df,1782928,101.83906727828746,4155,0,131,0,943,3,4380,2197,479
2b4ce8a8,1760907,123.2610325930199,3203,0,84,0,179,1,2739,1326,519
2b58cd89,1771471,80.8030370701206,3817,0,219,0,431,11,3550,2594,564
2bb9bf81,1790011,93.89630881938574,2966,0,120,1,458,4,3078,1720,374
2bdba7f6,786446,92.39631533847472,2196,0,41,0,97,0,1812,809,377
2bf2d921,1822991,98.67882037533512,1684,0,52,13,116,0,1495,796,281
2c13728c,1786707,74.01906916612799,2558,0,81,0,455,0,2454,1210,358
2c31fe42,1828525,65.98141354854488,2712,0,819,0,558,0,2636,7238,351
2c3a98ab,1807566,86.09753914988815,1784,0,161,0,290,0,1639,1729,231
2c403362,1779658,102.45425531914894,1564,0,121,0,195,0,1418,1309,213
2c6da667,1799947,147.57075471698113,2898,0,68,0,213,1,2517,1151,468
2c75e15a,1754947,71.03158362989323,1813,0,220,0,215,0,1503,2285,238
2d299968,1790301,73.76475802162737,4023,0,1286,0,332,0,3621,11022,594
2d394d34,1464523,55.93423096841015,1384,0,402,0,145,0,1256,3489,205
2d51209a,1746311,106.89101687186502,1743,0,198,0,252,0,1607,1972,232
2d58eb30,1856220,77.26991676575506,7435,0,568,0,405,2,6341,6075,1233
2d82f063,1703953,88.07384615384615,1833,0,157,0,285,0,1698,1676,271
2d83c6c9,1797829,123.91339429800968,2748,0,103,0,866,1,2977,1482,322
2d8a6af2,3888467,64.28892455858748,3918,0,4943,1,1727,2,4617,40714,366
2d9c35e8,945057,81.70134529147983,1776,0,46,0,407,1,1778,791,230
2dabece2,2099714,48.27758007117438,4879,0,430,0,1153,1,4805,4687,670
2db77950,1757973,142.55766895993526,2275,0,122,0,74,0,1916,1409,368
2dbeea4a,1722612,113.92713685193834,3087,0,427,0,768,0,3040,4231,401
2e01a66f,1769477,64.50017690765421,7390,0,402,0,687,0,6541,4752,1186
