time_worked,avg_action_time,Input,Move From To,Nonproduction,Paste,Remove/Cut,Replace,count_letters,count_special_chars,final_word_count,cluster
1761777,89.83386695126289,4300,0,108,0,1214,0,4428,1950,554,2
1548291,71.53338696701529,2119,0,190,1,176,0,1868,2018,366,0
1801697,96.15028901734104,3391,0,166,0,243,6,3005,2102,519,1
1736384,98.09220452640402,2675,0,97,0,807,0,2835,1501,311,0
1578360,96.603738317757,2606,0,197,0,938,4,2993,2193,257,0
2199727,133.60352622061484,1891,0,136,0,184,1,1768,1508,266,0
1750731,82.26559435072578,2365,0,33,0,151,0,2024,756,397,0
1813035,144.86679058240398,2804,0,38,0,386,0,2550,944,420,0
2184374,101.0210378681627,1326,0,27,0,73,0,1114,501,228,0
1709178,122.13134249471459,3336,0,55,0,393,0,3009,1160,503,0
1795502,75.13270142180095,1832,0,76,0,202,0,1591,1051,257,0
1882323,68.30859728506788,2877,1,172,0,263,2,2588,2084,449,3
1801790,110.83184383819379,2858,0,293,0,1101,0,1466,4837,254,0
1808347,104.97748960117445,3182,0,171,0,734,0,3084,2200,445,2
1700299,75.24505030834145,2513,0,185,0,383,0,2308,2068,377,0
1536750,120.87195796460178,3228,0,148,0,240,0,2763,1889,508,0
1755696,168.43077501881115,2058,0,123,4,469,4,2804,1722,231,0
1789851,55.19713831478538,3379,0,258,0,137,0,2764,2816,594,2
1688855,93.31988472622479,1380,0,230,0,125,0,1216,2129,205,0
1180835,98.48684449283252,3832,0,322,0,1355,2,4247,3612,408,2
1865012,78.01154939587775,5050,0,111,0,467,0,4455,1983,783,2
1831491,129.71381794368043,1332,0,76,0,119,0,1164,895,221,0
1925068,171.7510254306809,2262,0,52,0,124,0,1926,876,335,0
1773227,122.80716723549489,2174,0,82,0,88,0,1771,1147,378,0
1833636,110.8694,4390,0,281,0,329,0,3832,3135,710,2
1765983,86.44711538461539,3536,0,197,0,423,4,3201,2389,542,2
1702678,89.68517736486487,3619,0,495,0,609,13,3745,4793,428,1
1742933,69.68123861566484,3272,0,153,1,954,12,3861,2144,355,1
1593369,117.07706666666667,3314,0,107,0,327,2,2994,1580,508,0
1715429,74.1260859879706,2907,0,753,0,829,0,3069,6764,319,2
1808555,101.59132947976879,1499,0,102,0,129,0,1268,1176,255,0
1795737,114.50643004115226,3096,0,457,2,324,9,3439,4486,439,1
1717464,58.51757014437483,3152,0,79,0,440,0,2886,1343,467,2
1717816,112.08484270734033,1648,0,284,0,166,0,1482,2604,227,0
1773067,96.9090909090909,2371,0,231,0,316,8,2291,2445,281,0
1685514,111.98586977277067,4163,0,111,0,963,0,4217,1797,494,2
1723918,80.12298107983388,3744,0,469,0,121,0,3110,4507,624,2
1703145,112.43369565217391,1630,0,94,0,116,0,1427,1071,235,0
1776055,88.94532568342896,5050,0,245,0,631,0,4548,3093,741,2
1781183,114.91846885813149,3930,0,95,0,599,0,3593,1696,596,2
1684765,68.69608104505465,2820,0,273,1,657,0,3363,3029,355,0
1736607,82.95440895440895,3133,0,175,1,354,0,3212,2072,469,0
1797153,88.20660432495616,2920,0,94,0,408,0,2676,1404,438,0
1702281,130.92672279388836,2463,0,345,0,399,0,2281,3345,389,0
1784236,124.42227456258412,2552,0,20,0,400,0,2438,674,393,0
1774785,82.21776694727514,3578,0,153,0,783,0,3635,1980,431,2
1772365,104.28334439283344,2134,0,369,0,511,0,2203,3394,262,0
1333637,111.01376273052574,3151,0,50,0,431,1,3184,1096,395,0
2953786,102.98121712997747,1245,0,37,0,49,0,1005,585,210,0
1852658,139.94688363524716,3054,0,89,0,114,0,2626,1254,433,0
1690528,106.62966973470493,1504,0,70,0,273,0,1717,956,140,0
1602825,117.80980926430517,1614,0,57,0,163,1,1548,805,217,0
1812991,98.84155379504217,2547,0,1200,7,146,13,2866,10248,251,0
1112293,93.61218637992832,2210,0,92,0,485,3,2260,1244,267,0
1760462,77.86439422008151,2347,0,49,0,296,7,2157,955,335,0
1727895,84.22464985994398,2778,0,1721,0,856,0,2924,14478,331,5
1792184,85.32611903590752,3008,0,133,0,924,1,3307,1852,345,2
1638115,97.55878084179972,1833,0,187,0,42,5,1525,1886,303,0
1696529,94.33872767857143,4178,0,801,0,395,2,3941,7399,593,2
1795398,75.06614349775785,3734,0,205,0,518,3,3573,2520,535,2
1752522,80.96385083713851,2164,0,114,0,349,1,2046,1385,322,0
1706196,98.9995374653099,1771,0,134,0,253,4,1678,1526,259,0
1791549,95.45293315143248,2930,0,217,4,503,11,4601,3143,318,1
1713597,131.98383200148672,4573,0,195,1,610,2,4215,2582,697,2
1489672,89.77520661157025,1425,0,34,1,355,0,1545,647,205,0
1773179,137.61206293706294,4547,0,415,0,758,0,4117,4508,698,2
1887039,87.98565776458952,1675,0,78,0,269,0,1605,963,215,0
1669772,104.0739357729649,1163,0,152,0,24,0,930,1473,210,0
1674143,148.619793814433,1951,0,111,0,363,0,1822,1380,266,0
1409583,48.53751537515375,1347,0,73,0,206,0,1173,967,208,0
1786233,154.90652901785714,3127,0,152,0,302,3,2818,1878,475,0
1798503,93.25896226415094,1651,0,281,0,188,0,1276,2811,243,0
1395841,79.44028950542823,1473,0,43,0,140,2,1317,656,221,0
1796575,152.92536585365855,5371,0,186,0,593,0,4872,2580,782,2
1691489,106.63108921729611,1662,0,52,0,112,1,1511,792,256,0
1667172,94.40475404423903,2273,0,396,0,360,0,2400,3746,279,0
1683095,82.03578363384189,3013,0,118,0,474,0,2754,1677,483,0
1735593,89.93258971871968,1648,0,36,0,378,0,1665,649,228,0
1829005,106.7066265060241,1149,0,377,2,132,0,1126,3515,231,0
1680169,93.92015843235356,3480,0,511,0,789,17,3528,5014,452,1
1787175,99.80343385428131,2922,0,1199,0,411,11,3107,10380,356,1
1796467,117.18737373737373,1830,0,97,0,51,2,1538,1200,310,0
1758756,88.99055415617129,1393,0,48,0,147,0,1222,702,228,0
1679237,128.70564311133705,1783,0,92,0,83,9,1660,1134,271,0
1789700,105.07816091954022,2955,0,145,1,800,14,4393,2177,233,1
1659869,112.31991951710262,1756,0,38,0,193,1,1572,708,286,0
1798679,84.47565674255692,2193,0,258,2,402,0,2548,2940,254,0
1802756,105.11591478696742,4588,0,55,0,143,2,3755,1441,855,2
1844904,96.50593723494487,1907,0,193,0,258,0,1721,1988,286,0
1771752,69.56958393113342,2672,0,3425,0,171,5,2304,27999,435,5
1828228,92.06528081692196,2059,0,124,0,559,0,2171,1439,224,0
1509978,77.62965360958239,2677,0,67,0,344,1,2469,1177,384,0
1646074,99.5759209344115,2910,0,73,0,355,1,2688,1193,389,0
1711020,101.82988980716253,1136,0,224,1,90,1,1746,2273,371,0
1636593,112.36061175207942,3159,0,85,0,483,0,2901,1421,436,0
566762,84.21721122871607,2018,0,27,0,128,0,1754,608,303,0
760366,130.16341327384274,1635,0,29,0,129,0,1384,612,280,0
1753121,104.78559510567297,3266,0,135,0,195,0,2754,1787,529,0
1861344,103.84791965566714,2325,0,146,2,315,0,2442,1881,376,0
1679782,91.21755368814192,2499,0,403,0,311,0,2359,3793,362,0
1550264,129.88808426596444,1426,0,31,0,62,0,1121,615,215,0
1750234,102.29605618584549,3308,0,108,0,286,0,2824,1645,568,0
1777519,86.89435866075523,5955,0,250,0,336,0,4946,3345,994,2
1782861,107.02122807017544,4883,0,372,0,445,0,4316,3988,734,2
1869031,66.80152224824356,4456,0,375,0,2001,0,5119,4338,434,2
1821185,82.77937120794263,3041,0,276,0,309,0,2692,2866,519,0
1441453,107.1204481792717,2164,0,458,0,587,4,2246,4237,255,0
1797406,86.70284237726098,2480,0,472,0,529,2,2335,4484,357,0
1807880,126.25930764206402,1233,0,207,0,90,1,1050,1952,219,0
1657396,88.22288106034182,2256,0,143,4,464,0,7655,3171,338,2
1795913,204.6380483227774,3573,0,148,1,532,9,3591,1971,441,0
1808855,66.08895149929563,4480,0,146,0,343,0,4127,2103,604,2
1750232,96.39566115702479,1970,0,338,0,596,0,2182,3088,222,0
1715943,62.229214780600465,1315,0,346,0,71,0,1120,3061,221,0
1852684,101.02711738484398,2313,0,16,1,362,0,1005,1800,204,0
1779915,55.93791167260555,8551,0,144,0,565,1,7435,2854,1326,2
1800028,91.12822299651567,2003,0,264,0,601,2,2159,2655,246,0
1714327,135.04709775967413,3428,0,109,0,389,2,3103,1611,512,0
1304253,108.95245446125347,3046,0,51,0,142,0,2610,986,454,0
1793104,135.19893573475235,1848,0,44,0,551,0,1892,859,226,0
1761221,73.19834482758621,3121,0,77,0,421,6,2933,1335,424,0
1703851,64.41334514319456,3009,0,102,0,272,4,2637,1502,479,0
1702643,122.12871287128714,1793,0,206,0,122,0,1548,2015,282,0
1797313,101.02213279678068,3236,0,192,0,548,0,3073,2265,450,0
1745311,102.74348810872027,3963,0,152,0,1183,0,4308,2172,482,2
1799428,96.66608187134503,1395,0,120,0,195,0,1251,1301,214,0
1771952,140.5803945008966,1478,0,87,0,108,0,1296,1009,223,0
1779947,117.06931768796176,3893,0,377,0,330,2,3399,3862,607,2
1900072,61.33993399339934,4489,0,6100,0,598,24,5204,50123,478,5
1751358,138.27324088341038,1826,0,31,0,90,0,1518,646,292,0
1763787,95.79475982532752,1673,0,61,0,321,6,1645,923,230,0
1796445,87.8523611831863,3575,0,80,0,199,0,2990,1424,614,2
1857425,81.34389561975769,1751,0,108,0,287,0,1642,1260,255,0
1602782,85.14529472595656,1713,0,110,0,111,0,1422,1282,232,0
1825550,174.14498362607918,3102,0,93,0,163,1,2577,1448,487,0
1562978,119.91414419372592,1664,0,83,0,70,0,1354,1044,291,0
1791085,70.8260660081908,3706,0,169,0,276,0,3231,2200,603,2
1616051,68.81294396211523,1129,0,44,0,94,0,971,604,162,0
1628113,109.33960599823581,2493,0,115,0,793,0,2621,1594,335,0
1808391,75.28896103896103,2841,0,839,1,939,0,3153,7599,366,2
1113860,77.51385809312639,1289,0,435,0,80,0,1040,3809,220,0
1773910,69.58862727676588,3319,0,5025,0,660,0,3206,40973,462,5
1624018,65.76741010468821,3433,0,53,0,908,0,3471,1294,419,2
1392269,89.82790309106099,2135,0,155,0,104,0,1766,1713,367,0
1710600,126.82289589150379,2034,0,71,0,402,0,2018,1017,256,0
1354758,118.24570337364736,1456,0,32,0,83,0,1214,581,244,0
1778229,94.83936170212766,1590,0,93,0,195,2,1436,1142,240,0
1802397,116.18742614039235,3549,0,150,1,518,13,3869,2025,379,1
1698990,15.44287330316742,1517,0,139,0,109,3,1336,1449,224,0
1721719,99.66280711663372,2985,0,82,0,474,0,2820,1295,461,0
1748380,79.405614714424,1661,0,112,0,292,1,1603,1325,234,0
1811392,80.42972636815921,1367,0,126,0,115,0,1183,1307,218,0
1837091,98.0378301213419,1289,0,19,0,93,0,1098,436,220,0
1497890,18.77230769230769,1510,0,50,0,65,0,1585,659,215,0
1773800,71.86295313881521,2935,0,163,0,295,0,2536,1998,483,0
1772365,98.6509167842031,3599,0,119,0,529,7,3405,1861,507,1
1746933,102.09968130311614,5034,0,244,0,370,0,4322,3034,847,2
1649990,100.69731007981082,2867,0,109,7,400,0,2578,1575,449,0
1734016,116.22459279651297,3285,0,479,0,595,0,3030,4682,497,2
1724237,140.23367556468173,2164,0,63,0,203,5,1994,1001,322,0
1488887,87.54120713856025,4156,0,84,0,747,0,3981,1597,617,2
1796503,116.74354964816263,3102,0,23,0,712,0,3194,804,450,0
1803140,118.88848660391021,3254,1,452,1,421,14,3304,4433,434,3
1796931,149.04936437180123,4738,0,817,0,493,9,4509,7592,661,1
1790326,66.06333830104322,1140,0,122,0,80,0,920,1276,171,0
1690333,77.42060428590443,4349,0,27,0,3137,0,7167,535,207,2
1764042,82.82196634189549,2002,0,84,0,172,0,1549,1297,309,0
1725888,115.64601769911505,1625,0,120,0,175,1,1423,1343,240,0
1656005,197.2134203168686,1027,0,22,0,24,0,797,430,201,0
1774971,118.23604795369988,2258,0,54,0,107,0,1875,922,407,0
1798551,88.99240432369267,3150,0,70,0,203,0,2694,1219,501,0
1699796,127.61624799572421,1586,0,54,0,231,0,1404,845,228,0
2181296,87.90101325019485,3116,0,81,1,650,1,3156,1422,422,2
2478046,91.50928531232414,1548,0,87,0,142,0,1376,1010,235,0
1801375,173.4814063556457,1221,1,136,0,121,0,1145,1374,200,3
861283,86.95712484237075,1391,0,164,0,31,0,1128,1606,262,0
1701423,91.83574333483958,3312,0,232,0,882,0,3605,2750,370,2
1745194,119.28377942599161,2775,0,106,0,218,2,2473,1409,416,0
1631660,84.12087246289003,2478,0,324,1,495,3,2852,3438,369,0
1795760,147.42763157894737,1646,0,116,0,203,11,1679,1424,241,0
1727253,121.0657894736842,3598,0,59,0,444,3,3320,1325,528,0
1796763,71.79768041237114,1354,0,76,0,122,0,1125,959,202,0
1610897,88.0082214305289,3376,1,131,0,141,0,2999,1724,532,3
1737304,99.14691151919867,1490,0,57,0,243,7,1459,823,216,0
1750485,123.73460246360582,1488,0,49,2,247,0,1381,750,225,0
1795681,117.24175824175825,2612,0,91,0,209,0,2343,1238,404,0
1797126,84.67060192883272,3669,0,98,0,2246,1,1224,5481,207,2
1805684,122.58011634056055,2935,0,188,0,659,0,2927,2171,408,0
1709842,70.15825881558968,4756,0,75,0,1095,1,5042,1671,543,2
1784451,110.18392709196354,1295,0,668,0,447,4,1539,5745,108,0
1399286,129.1682398667407,1456,0,139,0,206,0,1322,1452,214,0
1801943,82.60995661109843,1934,0,2281,0,159,5,1755,18682,280,5
1758667,96.41188584877905,1931,0,1120,2,343,3,1865,9456,241,0
1733027,117.5769820971867,1734,0,34,0,187,0,1552,641,248,0
1732523,110.73074553296365,1491,0,86,0,46,0,1125,1100,249,0
1752899,91.15091410831322,4162,0,222,1,1413,0,4553,2919,452,2
1599845,100.37843336724313,2595,0,123,0,231,0,2208,1602,411,0
1868868,74.43312507968889,4359,0,2459,1,1024,0,4500,20700,514,5
1706162,89.03915547024953,1655,0,875,0,75,0,1397,7333,264,0
1649357,146.2199427480916,1965,0,24,0,107,0,1674,590,322,0
1734913,88.44229691876751,3091,0,113,0,366,0,2793,1568,493,0
1793331,108.11014851485149,1504,0,57,0,55,0,1195,820,258,0
1722966,141.54429369513167,3567,0,399,0,1046,0,4162,4207,344,2
1638548,99.90858944050433,1126,0,83,0,60,0,914,936,204,0
1750138,106.9204590423427,2347,0,47,0,132,1,1844,1022,404,0
1212970,94.80522827687776,2341,0,45,0,330,0,2169,862,352,0
1624333,163.58638473439916,1558,0,90,0,291,0,1509,1060,227,0
1831135,78.40974129209424,1900,0,4941,0,77,1,1750,39959,288,5
1781074,49.53859202714165,3297,0,46,0,194,0,2759,1100,595,2
1816556,111.78008451221753,4485,0,191,0,766,1,4301,2588,631,2
1722796,140.6721536351166,2234,0,198,0,484,0,2186,2188,338,0
1493136,90.72689075630252,1553,0,203,0,386,0,1527,2050,226,0
1770680,101.83140458361697,3358,0,454,0,595,0,3171,4414,502,0
2098667,91.4005032021958,2600,0,327,0,1445,0,3556,3120,288,2
1750189,72.2260778128286,2376,0,2845,0,485,0,2282,23344,339,5
1718331,61.98825654923216,1558,0,1570,0,193,0,1429,12882,227,0
1678769,90.48605577689243,2828,0,285,1,393,7,5772,3767,383,1
1794523,65.9910052910053,1652,0,57,0,181,0,1485,804,227,0
1799381,130.59097744360903,1734,0,109,0,151,1,1536,1228,269,0
1797438,121.84124223602484,3404,0,110,0,511,0,3149,1663,493,0
1621119,26.619148936170212,1748,0,186,0,416,0,1814,1904,217,0
1324390,100.80813953488372,1386,0,31,0,131,0,1188,577,209,0
1754099,91.88532763532764,1096,0,247,0,61,0,898,2235,205,0
1771061,95.43914473684211,2217,0,119,0,96,0,1842,1423,400,0
1893496,98.29601803155522,1175,0,31,0,125,0,1021,527,201,0
1749928,104.66272189349112,2666,0,241,0,473,0,2483,2584,381,0
1748692,85.19053162592161,1746,0,202,1,628,0,1903,2125,202,0
1775074,126.80448877805486,1734,0,76,0,195,0,1515,1022,287,0
1729861,104.35067774376913,1976,0,73,1,237,0,1744,1072,328,0
1790814,85.21707060063224,2533,0,68,0,243,3,2332,1093,359,0
687368,113.17797816801139,1903,0,54,0,150,0,1657,828,308,0
1759146,94.32353549989651,4174,0,111,0,538,8,4102,1908,543,1
3978130,111.70647680293983,1311,2,772,0,91,1,1206,6479,202,3
1874386,104.34384929641398,3934,0,168,0,301,3,3632,2242,604,2
1739036,85.89038292896814,2520,0,644,0,257,0,2254,5678,415,0
1511922,71.95712694877506,3103,0,67,0,422,0,2828,1233,445,0
1708351,59.18429073856976,3554,0,215,0,496,0,3234,2536,522,2
1957800,93.38446879466413,1641,0,250,0,208,0,1600,2375,223,0
1778958,102.60414732281028,2881,0,79,0,269,2,2503,1343,473,0
1783822,114.9419795221843,1562,0,67,0,129,0,1359,868,243,0
1782928,101.83906727828746,4155,0,131,0,943,3,4380,2197,479,2
1760907,123.2610325930199,3203,0,84,0,179,1,2739,1326,519,0
1771471,80.8030370701206,3817,0,219,0,431,11,3550,2594,564,1
1790011,93.89630881938574,2966,0,120,1,458,4,3078,1720,374,0
786446,92.39631533847472,2196,0,41,0,97,0,1812,809,377,0
1822991,98.67882037533512,1684,0,52,13,116,0,1495,796,281,0
1786707,74.01906916612799,2558,0,81,0,455,0,2454,1210,358,0
1828525,65.98141354854488,2712,0,819,0,558,0,2636,7238,351,0
1807566,86.09753914988815,1784,0,161,0,290,0,1639,1729,231,0
1779658,102.45425531914894,1564,0,121,0,195,0,1418,1309,213,0
1799947,147.57075471698113,2898,0,68,0,213,1,2517,1151,468,0
1754947,71.03158362989323,1813,0,220,0,215,0,1503,2285,238,0
1790301,73.76475802162737,4023,0,1286,0,332,0,3621,11022,594,2
1464523,55.93423096841015,1384,0,402,0,145,0,1256,3489,205,0
1746311,106.89101687186502,1743,0,198,0,252,0,1607,1972,232,0
1856220,77.26991676575506,7435,0,568,0,405,2,6341,6075,1233,2
1703953,88.07384615384615,1833,0,157,0,285,0,1698,1676,271,0
1797829,123.91339429800968,2748,0,103,0,866,1,2977,1482,322,0
3888467,64.28892455858748,3918,0,4943,1,1727,2,4617,40714,366,5
945057,81.70134529147983,1776,0,46,0,407,1,1778,791,230,0
2099714,48.27758007117438,4879,0,430,0,1153,1,4805,4687,670,2
1757973,142.55766895993526,2275,0,122,0,74,0,1916,1409,368,0
1722612,113.92713685193834,3087,0,427,0,768,0,3040,4231,401,2
1769477,64.50017690765421,7390,0,402,0,687,0,6541,4752,1186,2
1769211,86.74351077870655,1733,0,324,0,216,0,1477,3064,273,0
1836882,63.54323862754231,3797,0,1094,0,1542,8,4340,9864,378,2
1738981,105.13826923076923,3937,0,930,0,331,2,3588,8333,610,2
1857922,122.2636678200692,1244,0,148,0,53,0,1032,1449,212,0
1706997,77.00594916170903,3212,0,75,0,407,4,3057,1338,445,0
1752893,95.50042771599658,3220,0,971,1,470,14,3469,8635,384,1
2290170,114.8442760942761,1990,0,51,3,327,5,2287,963,258,0
1766126,95.18952299829643,3661,0,235,0,799,1,3657,2725,462,2
1717210,78.5509881422925,2487,0,1154,0,153,1,2497,9876,352,0
1690470,65.45545954438334,2508,0,3431,0,426,0,2341,28047,369,5
1819135,122.4412764844363,3411,0,261,6,145,0,2886,2770,560,0
1805707,77.91728082719173,5225,0,3165,0,697,4,4824,26570,784,5
1839411,78.59960070984916,3662,0,137,0,707,2,3519,2030,525,2
1688936,104.99041666666666,1961,0,143,0,296,0,1829,1576,278,0
1743336,179.76232821341955,1145,0,55,0,37,0,933,689,201,0
1787121,83.58496376811594,4290,0,155,1,1059,15,9315,3597,512,1
1790074,102.26060980634529,4325,0,209,0,314,6,3856,2582,619,1
1807256,144.49000555247085,3032,0,438,0,132,0,2560,4108,499,0
1790514,131.52977272727273,3958,0,181,0,261,0,3376,2291,651,2
1793501,116.92126857396319,3489,0,601,0,403,16,3270,5708,495,1
1720630,19.567887323943662,1442,0,56,0,275,2,1380,797,215,0
1714626,80.4608650202535,5792,0,959,0,860,42,6177,9294,705,1
1821584,63.55546334716459,2784,0,107,0,723,1,2879,1571,328,0
1209357,86.7447425670776,1214,0,35,0,130,0,937,687,201,0
1596665,99.88035921205099,2544,0,486,0,421,1,2370,4500,398,0
1797345,101.44006436041835,1104,0,99,0,39,1,912,1052,209,0
1631804,90.4107997265892,1241,0,95,0,127,0,1046,1082,202,0
1735354,104.97462746677407,3902,0,364,0,699,1,3629,3894,573,2
1778960,119.17511717085641,2075,0,25,0,247,0,1803,719,307,0
1593341,75.32347235693501,1708,0,184,0,170,0,1507,1843,277,0
1777537,100.03153745072274,2610,0,25,0,409,0,2426,793,409,0
1326851,81.40368722186903,1427,0,43,0,103,0,1231,643,234,0
556417,115.43009795191452,2008,0,25,0,213,0,1802,619,335,0
1618182,148.09731299927378,1276,0,21,0,80,0,1056,468,214,0
1650457,109.3,5139,0,936,1,1524,0,5816,8760,544,2
1775736,99.23096976016684,1639,0,40,0,239,0,1512,686,239,0
1737372,90.44285278878391,2670,0,99,0,511,1,2586,1403,369,0
1828988,89.93947116916215,2561,0,133,0,445,0,2396,1674,353,0
1715131,82.23801549089387,3551,0,816,0,410,0,3217,7272,532,2
1721112,130.52993039443155,1685,0,105,0,365,0,1661,1229,223,0
1785059,81.64295212765957,3823,0,140,0,548,1,3501,2004,576,2
1836154,83.57855523161646,2486,0,501,0,100,0,2050,4544,412,0
1332447,114.55287128712871,2402,0,64,0,58,1,2011,1028,338,0
